Customer_Name,Gender,Age,City,Brand,Generation,RAM_Type,RAM_Size,Storage,Usage_Type,Buying_Power
Kinza,Female,32,Peshawar,Acer,13th Gen,DDR5,32GB,1TB SSD,Business,Low
Saad,Male,32,Lahore,Acer,9th Gen,DDR4,16GB,1TB SSD,Gaming,High
Ali,Male,25,Peshawar,Dell,11th Gen,DDR4,16GB,512GB SSD,Office,Low
Sana,Female,44,Karachi,Asus,12th Gen,DDR4,32GB,256GB SSD,Business,Low
Usman,Male,45,Peshawar,MSI,8th Gen,DDR4,8GB,512GB SSD,Programming,Medium
Anaya,Female,30,Faisalabad,Lenovo,9th Gen,DDR5,16GB,256GB SSD,Gaming,High
Eman,Female,32,Islamabad,HP,11th Gen,DDR5,8GB,1TB SSD,Student,Medium
Maryam,Female,32,Multan,Dell,12th Gen,DDR5,8GB,256GB SSD,Programming,Low
Imran,Male,40,Islamabad,Asus,13th Gen,DDR5,32GB,512GB SSD,Office,High
Bilal,Male,29,Peshawar,HP,11th Gen,DDR5,8GB,512GB SSD,Business,Medium
Mehwish,Female,21,Karachi,MSI,10th Gen,DDR5,16GB,1TB SSD,Office,Low
Bilal,Male,23,Lahore,Asus,11th Gen,DDR5,16GB,512GB SSD,Student,Low
Faizan,Male,22,Karachi,Dell,10th Gen,DDR5,32GB,256GB SSD,Office,Low
Fatima,Female,33,Peshawar,HP,11th Gen,DDR5,32GB,1TB SSD,Business,Low
Eman,Female,43,Multan,Dell,10th Gen,DDR5,32GB,512GB SSD,Office,Medium
Sana,Female,44,Faisalabad,HP,11th Gen,DDR5,16GB,512GB SSD,Student,Low
Hira,Female,22,Islamabad,Asus,11th Gen,DDR5,16GB,1TB SSD,Gaming,Low
Noor,Female,43,Peshawar,Lenovo,8th Gen,DDR5,16GB,256GB SSD,Office,Medium
Hussain,Male,25,Peshawar,Acer,10th Gen,DDR5,32GB,512GB SSD,Programming,High
Usman,Male,20,Lahore,MSI,10th Gen,DDR4,16GB,1TB SSD,Programming,High
Saad,Male,31,Karachi,Acer,9th Gen,DDR5,8GB,512GB SSD,Student,Medium
Fatima,Female,43,Multan,Lenovo,10th Gen,DDR5,32GB,512GB SSD,Gaming,Medium
Hira,Female,35,Lahore,Acer,10th Gen,DDR5,32GB,1TB SSD,Student,Medium
Ali,Male,23,Karachi,Lenovo,12th Gen,DDR5,32GB,1TB SSD,Programming,Medium
Ayesha,Female,40,Multan,Asus,11th Gen,DDR5,8GB,1TB SSD,Business,High
Hira,Female,20,Faisalabad,Dell,12th Gen,DDR5,16GB,512GB SSD,Gaming,Low
Faizan,Male,18,Lahore,Lenovo,8th Gen,DDR5,16GB,512GB SSD,Business,High
Hira,Female,42,Karachi,Asus,11th Gen,DDR5,32GB,512GB SSD,Student,Low
Umar,Male,41,Lahore,Acer,12th Gen,DDR5,16GB,1TB SSD,Programming,Medium
Hira,Female,30,Peshawar,Acer,12th Gen,DDR5,8GB,512GB SSD,Student,High
Mehwish,Female,18,Peshawar,MSI,11th Gen,DDR5,32GB,512GB SSD,Student,Low
Noor,Female,18,Islamabad,Dell,8th Gen,DDR5,8GB,512GB SSD,Student,Low
Hassan,Male,34,Lahore,Asus,10th Gen,DDR5,32GB,1TB SSD,Gaming,Low
Maryam,Female,35,Peshawar,HP,10th Gen,DDR4,16GB,1TB SSD,Programming,High
Imran,Male,23,Multan,HP,8th Gen,DDR5,8GB,1TB SSD,Office,High
Bilal,Male,18,Karachi,Lenovo,8th Gen,DDR5,8GB,1TB SSD,Business,Medium
Hassan,Male,38,Lahore,Dell,11th Gen,DDR5,16GB,256GB SSD,Business,High
Anaya,Female,28,Faisalabad,Lenovo,8th Gen,DDR4,32GB,1TB SSD,Office,High
Hassan,Male,21,Karachi,Acer,10th Gen,DDR5,32GB,256GB SSD,Programming,Medium
Mehwish,Female,37,Faisalabad,HP,11th Gen,DDR4,32GB,256GB SSD,Office,Medium
Zubair,Male,32,Peshawar,Dell,11th Gen,DDR4,8GB,1TB SSD,Business,Medium
Usman,Male,18,Islamabad,MSI,10th Gen,DDR5,16GB,512GB SSD,Student,High
Hamza,Male,40,Peshawar,Asus,13th Gen,DDR4,32GB,1TB SSD,Student,Low
Sana,Female,45,Karachi,HP,10th Gen,DDR5,16GB,256GB SSD,Business,Low
Hussain,Male,37,Multan,HP,10th Gen,DDR4,16GB,512GB SSD,Student,Medium
Hussain,Male,23,Peshawar,Dell,13th Gen,DDR5,32GB,512GB SSD,Office,Medium
Mehwish,Female,40,Multan,HP,12th Gen,DDR5,8GB,512GB SSD,Business,Low
Anaya,Female,30,Peshawar,Asus,11th Gen,DDR5,32GB,1TB SSD,Programming,Low
Ayesha,Female,22,Peshawar,Dell,10th Gen,DDR4,8GB,512GB SSD,Student,Low
Zainab,Female,41,Lahore,MSI,10th Gen,DDR5,16GB,1TB SSD,Programming,Medium
Iqra,Female,44,Islamabad,HP,9th Gen,DDR5,16GB,1TB SSD,Business,High
Ayesha,Female,33,Islamabad,Asus,9th Gen,DDR5,32GB,1TB SSD,Student,Medium
Laiba,Female,39,Multan,Asus,10th Gen,DDR5,8GB,1TB SSD,Gaming,Medium
Zainab,Female,43,Lahore,Acer,13th Gen,DDR4,32GB,512GB SSD,Gaming,Medium
Dua,Female,33,Faisalabad,Lenovo,10th Gen,DDR4,8GB,512GB SSD,Office,Medium
Noor,Female,32,Lahore,Lenovo,9th Gen,DDR5,32GB,256GB SSD,Office,High
Noor,Female,35,Faisalabad,HP,10th Gen,DDR5,8GB,256GB SSD,Office,High
Maryam,Female,31,Multan,Acer,10th Gen,DDR5,32GB,256GB SSD,Student,Medium
Hassan,Male,38,Multan,Lenovo,13th Gen,DDR5,32GB,512GB SSD,Business,Low
Anaya,Female,27,Multan,Acer,13th Gen,DDR4,32GB,512GB SSD,Business,Low
Faizan,Male,30,Faisalabad,MSI,12th Gen,DDR5,32GB,512GB SSD,Programming,Medium
Hira,Female,27,Karachi,HP,12th Gen,DDR5,32GB,256GB SSD,Office,Medium
Talha,Male,26,Faisalabad,MSI,9th Gen,DDR4,8GB,512GB SSD,Office,Low
Rizwan,Male,20,Peshawar,HP,10th Gen,DDR5,16GB,1TB SSD,Programming,Medium
Talha,Male,36,Islamabad,Asus,8th Gen,DDR5,32GB,256GB SSD,Student,Low
Zubair,Male,41,Faisalabad,Acer,9th Gen,DDR4,32GB,512GB SSD,Gaming,High
Usman,Male,22,Karachi,MSI,12th Gen,DDR4,8GB,256GB SSD,Gaming,Low
Imran,Male,42,Karachi,MSI,9th Gen,DDR5,16GB,256GB SSD,Programming,High
Bilal,Male,38,Islamabad,Acer,8th Gen,DDR5,16GB,256GB SSD,Office,Low
Hamza,Male,44,Islamabad,Acer,13th Gen,DDR4,8GB,512GB SSD,Business,Low
Hassan,Male,35,Peshawar,Asus,9th Gen,DDR5,8GB,512GB SSD,Business,High
Saad,Male,31,Peshawar,HP,10th Gen,DDR5,8GB,256GB SSD,Office,Medium
Ahmed,Male,18,Multan,Lenovo,11th Gen,DDR4,8GB,256GB SSD,Business,High
Eman,Female,35,Faisalabad,Acer,11th Gen,DDR5,32GB,1TB SSD,Student,Medium
Sana,Female,45,Islamabad,MSI,11th Gen,DDR4,16GB,1TB SSD,Office,Low
Hussain,Male,34,Lahore,HP,10th Gen,DDR4,16GB,512GB SSD,Programming,High
Iqra,Female,44,Faisalabad,Asus,12th Gen,DDR5,16GB,1TB SSD,Gaming,High
Rizwan,Male,34,Faisalabad,HP,11th Gen,DDR4,8GB,256GB SSD,Student,Low
Noor,Female,18,Islamabad,MSI,11th Gen,DDR5,16GB,512GB SSD,Programming,Low
Saad,Male,31,Faisalabad,Asus,13th Gen,DDR4,16GB,1TB SSD,Gaming,High
Noor,Female,30,Peshawar,Asus,10th Gen,DDR5,16GB,1TB SSD,Gaming,Medium
Maham,Female,18,Karachi,HP,10th Gen,DDR4,16GB,256GB SSD,Programming,High
Anaya,Female,31,Peshawar,Dell,10th Gen,DDR5,16GB,256GB SSD,Business,High
Noor,Female,19,Islamabad,Acer,10th Gen,DDR5,16GB,256GB SSD,Office,Medium
Abdullah,Male,43,Islamabad,Lenovo,11th Gen,DDR5,8GB,1TB SSD,Student,Low
Zubair,Male,36,Lahore,HP,8th Gen,DDR5,8GB,1TB SSD,Student,Medium
Ayesha,Female,25,Peshawar,Lenovo,8th Gen,DDR5,8GB,512GB SSD,Office,Medium
Zubair,Male,35,Multan,Lenovo,8th Gen,DDR4,16GB,1TB SSD,Student,Medium
Kinza,Female,45,Peshawar,Asus,10th Gen,DDR5,32GB,1TB SSD,Office,Medium
Kinza,Female,39,Lahore,MSI,11th Gen,DDR5,8GB,1TB SSD,Programming,Medium
Maryam,Female,43,Lahore,Lenovo,8th Gen,DDR5,8GB,1TB SSD,Business,Low
Hira,Female,22,Faisalabad,Acer,10th Gen,DDR5,32GB,512GB SSD,Business,Low
Zubair,Male,45,Multan,Acer,11th Gen,DDR5,16GB,512GB SSD,Gaming,High
Kinza,Female,37,Lahore,Acer,13th Gen,DDR5,32GB,512GB SSD,Office,Low
Talha,Male,44,Multan,HP,11th Gen,DDR4,16GB,512GB SSD,Office,Low
Hassan,Male,30,Multan,Lenovo,10th Gen,DDR5,16GB,512GB SSD,Student,Low
Dua,Female,36,Peshawar,Acer,10th Gen,DDR5,16GB,256GB SSD,Office,High
Hira,Female,32,Islamabad,Dell,8th Gen,DDR5,8GB,1TB SSD,Student,Low
Imran,Male,26,Islamabad,Asus,10th Gen,DDR5,32GB,256GB SSD,Gaming,Low
Rizwan,Male,34,Lahore,Asus,9th Gen,DDR5,16GB,512GB SSD,Gaming,Low
Ali,Male,31,Karachi,Acer,8th Gen,DDR4,16GB,256GB SSD,Business,Medium
Saad,Male,45,Peshawar,HP,11th Gen,DDR5,8GB,512GB SSD,Programming,High
Eman,Female,42,Multan,Dell,8th Gen,DDR4,16GB,1TB SSD,Office,High
Iqra,Female,32,Karachi,HP,13th Gen,DDR5,16GB,512GB SSD,Office,Medium
Bilal,Male,27,Karachi,MSI,8th Gen,DDR5,32GB,1TB SSD,Office,High
Maham,Female,45,Islamabad,Lenovo,12th Gen,DDR5,8GB,512GB SSD,Student,Low
Bilal,Male,27,Lahore,Lenovo,8th Gen,DDR5,8GB,512GB SSD,Student,Medium
Hira,Female,19,Islamabad,Dell,11th Gen,DDR5,8GB,256GB SSD,Business,High
Hira,Female,39,Peshawar,Lenovo,13th Gen,DDR5,8GB,256GB SSD,Student,High
Zubair,Male,28,Islamabad,Acer,8th Gen,DDR5,8GB,256GB SSD,Business,Low
Noor,Female,36,Lahore,Lenovo,13th Gen,DDR4,8GB,1TB SSD,Office,High
Usman,Male,25,Faisalabad,HP,8th Gen,DDR5,16GB,512GB SSD,Programming,Low
Saad,Male,29,Karachi,HP,8th Gen,DDR5,32GB,512GB SSD,Office,High
Maham,Female,30,Lahore,Asus,9th Gen,DDR4,32GB,512GB SSD,Programming,High
Fatima,Female,43,Karachi,Dell,10th Gen,DDR5,32GB,512GB SSD,Student,Low
Hussain,Male,37,Lahore,Asus,10th Gen,DDR5,8GB,256GB SSD,Office,Low
Faizan,Male,32,Peshawar,Lenovo,10th Gen,DDR5,8GB,1TB SSD,Programming,Medium
Iqra,Female,40,Lahore,MSI,10th Gen,DDR5,8GB,512GB SSD,Programming,Medium
Sana,Female,31,Lahore,Dell,13th Gen,DDR4,16GB,1TB SSD,Student,Low
Maryam,Female,37,Karachi,Lenovo,13th Gen,DDR5,8GB,1TB SSD,Student,Low
Umar,Male,40,Islamabad,Dell,11th Gen,DDR4,16GB,256GB SSD,Business,Low
Ahmed,Male,45,Faisalabad,Dell,12th Gen,DDR5,8GB,512GB SSD,Student,Medium
Hassan,Male,19,Lahore,Acer,13th Gen,DDR5,8GB,1TB SSD,Business,Medium
Hira,Female,22,Karachi,MSI,10th Gen,DDR5,16GB,512GB SSD,Office,High
Hassan,Male,22,Multan,HP,12th Gen,DDR5,16GB,256GB SSD,Gaming,Low
Anaya,Female,45,Karachi,HP,10th Gen,DDR5,8GB,512GB SSD,Gaming,Low
Anaya,Female,22,Islamabad,Lenovo,13th Gen,DDR5,32GB,256GB SSD,Programming,High
Imran,Male,43,Peshawar,Asus,10th Gen,DDR5,16GB,512GB SSD,Gaming,Low
Iqra,Female,19,Lahore,MSI,10th Gen,DDR4,16GB,512GB SSD,Programming,High
Rizwan,Male,42,Faisalabad,Asus,13th Gen,DDR5,32GB,256GB SSD,Office,High
Zainab,Female,32,Islamabad,MSI,13th Gen,DDR4,32GB,512GB SSD,Business,Low
Kinza,Female,20,Peshawar,MSI,9th Gen,DDR4,32GB,256GB SSD,Programming,Low
Umar,Male,27,Karachi,MSI,8th Gen,DDR5,16GB,512GB SSD,Gaming,Medium
Eman,Female,22,Multan,Asus,12th Gen,DDR5,16GB,512GB SSD,Business,Low
Kinza,Female,44,Islamabad,Dell,10th Gen,DDR4,32GB,256GB SSD,Student,Low
Sana,Female,44,Karachi,Asus,10th Gen,DDR5,32GB,1TB SSD,Office,High
Dua,Female,23,Islamabad,Acer,8th Gen,DDR5,32GB,512GB SSD,Office,High
Eman,Female,32,Multan,Asus,10th Gen,DDR5,16GB,256GB SSD,Office,Medium
Hira,Female,40,Karachi,HP,12th Gen,DDR5,32GB,1TB SSD,Programming,Medium
Maham,Female,30,Islamabad,Acer,10th Gen,DDR5,32GB,512GB SSD,Programming,High
Anaya,Female,36,Karachi,MSI,11th Gen,DDR4,32GB,256GB SSD,Gaming,High
Hussain,Male,19,Karachi,MSI,12th Gen,DDR5,32GB,256GB SSD,Office,Low
Faizan,Male,30,Faisalabad,Asus,13th Gen,DDR5,32GB,1TB SSD,Student,High
Hira,Female,32,Multan,Asus,9th Gen,DDR5,8GB,512GB SSD,Programming,High
Eman,Female,40,Peshawar,Dell,10th Gen,DDR5,16GB,1TB SSD,Student,Medium
Talha,Male,23,Lahore,HP,8th Gen,DDR5,8GB,1TB SSD,Gaming,Low
Ali,Male,44,Multan,Dell,13th Gen,DDR5,8GB,256GB SSD,Gaming,Low
Ahmed,Male,42,Karachi,Acer,12th Gen,DDR5,32GB,512GB SSD,Business,Medium
Zainab,Female,41,Multan,Asus,9th Gen,DDR5,8GB,256GB SSD,Office,Low
Hamza,Male,40,Peshawar,Lenovo,11th Gen,DDR5,16GB,1TB SSD,Business,Medium
Anaya,Female,40,Karachi,Acer,10th Gen,DDR5,8GB,256GB SSD,Office,Low
Maryam,Female,36,Islamabad,Asus,13th Gen,DDR5,32GB,512GB SSD,Programming,High
Imran,Male,41,Islamabad,Acer,9th Gen,DDR5,16GB,256GB SSD,Programming,Low
Mehwish,Female,44,Islamabad,MSI,13th Gen,DDR5,32GB,256GB SSD,Programming,High
Usman,Male,21,Multan,Asus,8th Gen,DDR4,16GB,512GB SSD,Programming,High
Sana,Female,32,Peshawar,Lenovo,13th Gen,DDR4,8GB,1TB SSD,Programming,High
Faizan,Male,32,Islamabad,MSI,10th Gen,DDR5,16GB,1TB SSD,Office,High
Usman,Male,20,Multan,Dell,11th Gen,DDR5,16GB,1TB SSD,Business,Low
Zubair,Male,23,Peshawar,MSI,10th Gen,DDR5,16GB,512GB SSD,Gaming,High
Bilal,Male,39,Multan,MSI,10th Gen,DDR4,32GB,1TB SSD,Business,High
Eman,Female,42,Peshawar,MSI,10th Gen,DDR5,32GB,1TB SSD,Gaming,Low
Hira,Female,24,Karachi,HP,11th Gen,DDR5,16GB,512GB SSD,Student,High
Iqra,Female,38,Lahore,Dell,12th Gen,DDR5,32GB,256GB SSD,Programming,Medium
Zubair,Male,29,Karachi,Asus,13th Gen,DDR4,16GB,512GB SSD,Office,Medium
Sana,Female,38,Karachi,Dell,10th Gen,DDR5,8GB,256GB SSD,Student,High
Hassan,Male,19,Islamabad,HP,8th Gen,DDR5,32GB,256GB SSD,Programming,Low
Ahmed,Male,31,Islamabad,Lenovo,12th Gen,DDR5,8GB,1TB SSD,Gaming,High
Dua,Female,18,Islamabad,Lenovo,11th Gen,DDR5,32GB,256GB SSD,Office,Low
Mehwish,Female,43,Multan,Asus,11th Gen,DDR5,32GB,256GB SSD,Programming,Low
Imran,Male,34,Faisalabad,MSI,8th Gen,DDR5,8GB,256GB SSD,Programming,Low
Hassan,Male,33,Faisalabad,MSI,10th Gen,DDR5,8GB,1TB SSD,Programming,High
Ayesha,Female,23,Islamabad,Acer,10th Gen,DDR5,16GB,256GB SSD,Student,Low
Saad,Male,30,Lahore,Lenovo,9th Gen,DDR4,16GB,1TB SSD,Office,Low
Hussain,Male,19,Multan,Acer,12th Gen,DDR5,16GB,512GB SSD,Gaming,Medium
Imran,Male,37,Faisalabad,Acer,10th Gen,DDR5,8GB,1TB SSD,Programming,High
Mehwish,Female,32,Karachi,Lenovo,11th Gen,DDR5,16GB,1TB SSD,Student,Low
Saad,Male,32,Islamabad,Asus,13th Gen,DDR4,8GB,256GB SSD,Office,Medium
Laiba,Female,24,Karachi,Asus,9th Gen,DDR5,32GB,512GB SSD,Office,Low
Mehwish,Female,40,Faisalabad,Acer,9th Gen,DDR4,32GB,1TB SSD,Student,Medium
Imran,Male,32,Karachi,HP,13th Gen,DDR5,32GB,512GB SSD,Student,High
Fatima,Female,33,Lahore,Asus,13th Gen,DDR5,8GB,512GB SSD,Programming,Low
Saad,Male,29,Karachi,Acer,12th Gen,DDR5,8GB,512GB SSD,Business,High
Hassan,Male,22,Peshawar,Dell,10th Gen,DDR5,8GB,256GB SSD,Office,High
Hussain,Male,18,Multan,MSI,11th Gen,DDR4,16GB,512GB SSD,Business,Low
Faizan,Male,34,Peshawar,MSI,10th Gen,DDR4,16GB,1TB SSD,Student,Medium
Laiba,Female,37,Islamabad,MSI,10th Gen,DDR5,32GB,512GB SSD,Office,High
Anaya,Female,29,Karachi,MSI,13th Gen,DDR5,8GB,512GB SSD,Business,Low
Eman,Female,24,Faisalabad,Lenovo,12th Gen,DDR5,16GB,512GB SSD,Student,Medium
Hassan,Male,27,Multan,HP,12th Gen,DDR4,16GB,1TB SSD,Office,High
Abdullah,Male,36,Lahore,Lenovo,9th Gen,DDR4,8GB,1TB SSD,Programming,Medium
Zainab,Female,25,Faisalabad,Dell,11th Gen,DDR4,32GB,512GB SSD,Programming,Low
Ayesha,Female,35,Multan,Lenovo,13th Gen,DDR5,8GB,256GB SSD,Business,Medium
Maryam,Female,18,Karachi,Lenovo,12th Gen,DDR5,8GB,256GB SSD,Gaming,High
Rizwan,Male,36,Multan,Asus,10th Gen,DDR5,8GB,1TB SSD,Gaming,Low
Noor,Female,19,Faisalabad,Acer,12th Gen,DDR5,32GB,512GB SSD,Gaming,Medium
Anaya,Female,40,Islamabad,Asus,12th Gen,DDR5,8GB,1TB SSD,Business,Medium
Laiba,Female,34,Lahore,Asus,13th Gen,DDR4,32GB,1TB SSD,Student,High
Hassan,Male,23,Karachi,Acer,13th Gen,DDR5,8GB,1TB SSD,Gaming,Medium
Kinza,Female,34,Peshawar,Acer,11th Gen,DDR5,32GB,512GB SSD,Student,Medium
Usman,Male,25,Islamabad,Lenovo,12th Gen,DDR5,32GB,1TB SSD,Student,High
Ali,Male,34,Islamabad,Dell,13th Gen,DDR5,8GB,256GB SSD,Programming,High
Ahmed,Male,38,Peshawar,Dell,10th Gen,DDR5,16GB,512GB SSD,Student,Medium
Dua,Female,40,Multan,HP,9th Gen,DDR4,16GB,256GB SSD,Programming,Low
Abdullah,Male,29,Lahore,Lenovo,11th Gen,DDR4,16GB,256GB SSD,Student,High
Ayesha,Female,31,Multan,Asus,11th Gen,DDR5,8GB,512GB SSD,Business,High
Abdullah,Male,21,Peshawar,HP,11th Gen,DDR5,32GB,512GB SSD,Programming,Low
Ali,Male,25,Karachi,Asus,8th Gen,DDR5,8GB,512GB SSD,Student,High
Ali,Male,42,Lahore,MSI,10th Gen,DDR5,8GB,256GB SSD,Student,Low
Imran,Male,43,Peshawar,Dell,10th Gen,DDR5,16GB,512GB SSD,Programming,High
Ayesha,Female,22,Peshawar,Dell,13th Gen,DDR4,32GB,512GB SSD,Programming,High
Ayesha,Female,24,Karachi,Asus,10th Gen,DDR5,16GB,1TB SSD,Gaming,High
Laiba,Female,34,Islamabad,Acer,13th Gen,DDR5,32GB,256GB SSD,Office,Medium
Sana,Female,34,Peshawar,MSI,10th Gen,DDR4,32GB,1TB SSD,Programming,High
Faizan,Male,34,Peshawar,HP,10th Gen,DDR5,32GB,1TB SSD,Office,High
Laiba,Female,43,Islamabad,MSI,10th Gen,DDR5,32GB,1TB SSD,Gaming,Medium
Mehwish,Female,44,Multan,Dell,10th Gen,DDR5,8GB,1TB SSD,Student,High
Talha,Male,44,Lahore,Dell,10th Gen,DDR5,16GB,256GB SSD,Office,High
Talha,Male,28,Lahore,HP,10th Gen,DDR4,8GB,256GB SSD,Gaming,Medium
Rizwan,Male,37,Karachi,Asus,10th Gen,DDR5,16GB,256GB SSD,Gaming,Low
Kinza,Female,21,Islamabad,MSI,11th Gen,DDR4,8GB,256GB SSD,Gaming,Medium
Eman,Female,38,Peshawar,Lenovo,11th Gen,DDR4,32GB,512GB SSD,Programming,High
Hassan,Male,24,Islamabad,HP,11th Gen,DDR5,8GB,256GB SSD,Office,High
Dua,Female,36,Islamabad,Dell,12th Gen,DDR5,32GB,512GB SSD,Student,Medium
Iqra,Female,44,Lahore,Asus,10th Gen,DDR4,32GB,1TB SSD,Gaming,High
Hamza,Male,18,Peshawar,Dell,10th Gen,DDR5,8GB,1TB SSD,Programming,Low
Fatima,Female,45,Peshawar,Asus,11th Gen,DDR5,32GB,512GB SSD,Student,Low
Hassan,Male,33,Karachi,Asus,12th Gen,DDR5,8GB,1TB SSD,Gaming,High
Anaya,Female,21,Islamabad,Dell,10th Gen,DDR5,8GB,512GB SSD,Business,Low
Rizwan,Male,24,Faisalabad,Acer,13th Gen,DDR5,8GB,512GB SSD,Student,Low
Usman,Male,31,Faisalabad,MSI,13th Gen,DDR4,32GB,1TB SSD,Programming,Medium
Laiba,Female,25,Lahore,Acer,8th Gen,DDR5,32GB,512GB SSD,Student,Medium
Saad,Male,22,Islamabad,MSI,13th Gen,DDR5,16GB,512GB SSD,Gaming,High
Rizwan,Male,32,Karachi,MSI,12th Gen,DDR4,8GB,1TB SSD,Office,Low
Faizan,Male,22,Lahore,MSI,10th Gen,DDR5,32GB,256GB SSD,Business,High
Eman,Female,25,Peshawar,Lenovo,8th Gen,DDR5,8GB,256GB SSD,Programming,Low
Zubair,Male,31,Karachi,MSI,9th Gen,DDR4,16GB,512GB SSD,Student,Low
Abdullah,Male,41,Peshawar,HP,11th Gen,DDR5,16GB,256GB SSD,Programming,Low
Eman,Female,44,Islamabad,Acer,9th Gen,DDR5,32GB,1TB SSD,Office,Medium
Dua,Female,28,Karachi,Dell,13th Gen,DDR5,16GB,512GB SSD,Student,High
Hamza,Male,43,Lahore,Asus,8th Gen,DDR4,32GB,256GB SSD,Student,Medium
Noor,Female,22,Islamabad,HP,11th Gen,DDR5,32GB,256GB SSD,Gaming,Medium
Usman,Male,21,Faisalabad,Lenovo,11th Gen,DDR5,16GB,256GB SSD,Gaming,Low
Noor,Female,30,Lahore,HP,12th Gen,DDR5,32GB,1TB SSD,Student,High
Maryam,Female,39,Multan,Lenovo,12th Gen,DDR4,32GB,256GB SSD,Office,High
Talha,Male,39,Peshawar,MSI,9th Gen,DDR4,16GB,512GB SSD,Business,High
Maham,Female,33,Faisalabad,MSI,10th Gen,DDR5,8GB,1TB SSD,Gaming,Medium
Abdullah,Male,29,Islamabad,Lenovo,13th Gen,DDR4,16GB,1TB SSD,Business,High
Eman,Female,34,Multan,Dell,8th Gen,DDR5,8GB,1TB SSD,Student,High
Saad,Male,38,Karachi,Dell,10th Gen,DDR5,16GB,1TB SSD,Programming,Medium
Ali,Male,19,Islamabad,Lenovo,13th Gen,DDR4,32GB,1TB SSD,Business,Medium
Maham,Female,26,Multan,Asus,8th Gen,DDR5,16GB,256GB SSD,Student,Low
Bilal,Male,25,Peshawar,Lenovo,11th Gen,DDR5,16GB,1TB SSD,Office,Medium
Bilal,Male,29,Peshawar,MSI,13th Gen,DDR4,16GB,256GB SSD,Programming,High
Sana,Female,37,Islamabad,Lenovo,10th Gen,DDR5,32GB,1TB SSD,Programming,High
Hira,Female,37,Multan,MSI,10th Gen,DDR4,8GB,256GB SSD,Student,Medium
Dua,Female,18,Lahore,Dell,13th Gen,DDR5,16GB,512GB SSD,Programming,Low
Umar,Male,42,Islamabad,Lenovo,13th Gen,DDR5,32GB,256GB SSD,Student,Medium
Dua,Female,30,Lahore,Asus,11th Gen,DDR5,32GB,256GB SSD,Business,Medium
Talha,Male,37,Lahore,Asus,8th Gen,DDR5,32GB,512GB SSD,Student,Medium
Laiba,Female,25,Faisalabad,HP,10th Gen,DDR4,16GB,256GB SSD,Student,High
Abdullah,Male,39,Islamabad,Dell,11th Gen,DDR5,8GB,256GB SSD,Student,Medium
Umar,Male,43,Faisalabad,Dell,9th Gen,DDR5,8GB,512GB SSD,Gaming,Medium
Maryam,Female,33,Islamabad,Acer,10th Gen,DDR5,32GB,1TB SSD,Student,Low
Zainab,Female,25,Karachi,HP,11th Gen,DDR5,16GB,256GB SSD,Student,Low
Noor,Female,26,Lahore,HP,10th Gen,DDR5,32GB,1TB SSD,Student,High
Talha,Male,20,Islamabad,HP,10th Gen,DDR5,32GB,1TB SSD,Programming,High
Zainab,Female,22,Peshawar,Lenovo,12th Gen,DDR5,32GB,1TB SSD,Programming,Low
Sana,Female,30,Islamabad,Acer,10th Gen,DDR4,8GB,512GB SSD,Office,High
Iqra,Female,20,Multan,HP,11th Gen,DDR5,8GB,1TB SSD,Business,Low
Hussain,Male,28,Lahore,HP,13th Gen,DDR4,32GB,1TB SSD,Student,Medium
Imran,Male,43,Lahore,MSI,8th Gen,DDR5,16GB,1TB SSD,Office,High
Anaya,Female,45,Karachi,Lenovo,9th Gen,DDR5,16GB,512GB SSD,Office,High
Sana,Female,44,Multan,Dell,10th Gen,DDR5,8GB,1TB SSD,Office,High
Eman,Female,21,Peshawar,Dell,13th Gen,DDR5,32GB,256GB SSD,Office,High
Mehwish,Female,36,Karachi,Lenovo,9th Gen,DDR4,8GB,256GB SSD,Programming,Low
Abdullah,Male,18,Peshawar,Asus,11th Gen,DDR5,32GB,256GB SSD,Business,Medium
Mehwish,Female,21,Lahore,MSI,11th Gen,DDR4,16GB,512GB SSD,Office,Medium
Rizwan,Male,18,Peshawar,Lenovo,10th Gen,DDR5,8GB,256GB SSD,Student,High
Imran,Male,35,Karachi,Acer,10th Gen,DDR5,16GB,256GB SSD,Student,High
Usman,Male,44,Lahore,Lenovo,13th Gen,DDR5,32GB,256GB SSD,Student,Medium
Faizan,Male,25,Peshawar,Acer,10th Gen,DDR5,8GB,512GB SSD,Gaming,Medium
Abdullah,Male,34,Faisalabad,HP,11th Gen,DDR5,32GB,512GB SSD,Office,Low
Hussain,Male,32,Karachi,HP,10th Gen,DDR4,32GB,512GB SSD,Programming,High
Eman,Female,25,Karachi,Dell,11th Gen,DDR5,32GB,1TB SSD,Programming,High
Rizwan,Male,27,Karachi,Asus,10th Gen,DDR5,16GB,512GB SSD,Programming,Medium
Abdullah,Male,30,Multan,HP,11th Gen,DDR4,32GB,512GB SSD,Gaming,High
Laiba,Female,40,Lahore,MSI,9th Gen,DDR5,16GB,256GB SSD,Student,Low
Umar,Male,22,Peshawar,HP,13th Gen,DDR5,8GB,256GB SSD,Office,Low
Hira,Female,24,Multan,Dell,10th Gen,DDR5,32GB,1TB SSD,Programming,Low
Rizwan,Male,42,Lahore,Lenovo,10th Gen,DDR5,32GB,256GB SSD,Office,Medium
Iqra,Female,27,Karachi,Lenovo,9th Gen,DDR5,16GB,512GB SSD,Business,Low
